chrom	start	end	log2_insulation_score_30000	log2_insulation_score_50000	log2_insulation_score_100000	log2_insulation_score_250000
18	47330000	47340000	0.1504353492155122	0.2590101030643886	0.0173051899294634	0.0945309438350255
18	47340000	47350000	-0.4540746492292737	-0.0326448029001811	-0.1755458983077794	0.073082424468602
18	47350000	47360000	-0.895755886329072	-0.387372498512661	-0.289945062273554	0.0910618651327983
18	47360000	47370000	-0.6404475558655935	-0.1230679066164038	-0.3090570649017098	0.1248526682454726
18	47370000	47380000	-0.0081770866683973	-0.1566385530926808	-0.2722881094725143	0.1620205989176635
18	47380000	47390000	0.1485568156022142	0.0297682244865081	-0.0930375659371896	0.2569778592874929
18	47390000	47400000	0.2022488067691587	0.1098358836109399	0.028257069984072	0.3067429339654557
18	47400000	47410000	0.4289832708082917	0.0017716301192604	0.0282227665328866	0.3111320520998383
18	47410000	47420000	0.2610812250018393	0.1343674063617727	0.0667833646406169	0.3858056942622418
18	47420000	47430000	0.1816458361413082	0.1983548238200051	0.0972164259343556	0.4189967978657649
18	47430000	47440000	0.140214861396677	-0.0190859960995383	0.0890782484582979	0.4922745088230582
18	47440000	47450000	-0.0347947721457995	0.0534052262687549	0.1157658722182727	0.5353636539175306
18	47450000	47460000	0.0070506919723408	0.0333619470368019	0.0697210201249271	0.5488080238284356
18	47460000	47470000	-0.1008270915275634	-0.0147025375727117	0.1195543846683315	0.5593987364687493
18	47470000	47480000	-0.2695758664109505	-0.1810596375463074	0.1176917633666525	0.5508458143978087
18	47480000	47490000	-0.1845898465607432	-0.2627758602163902	0.0979841707682545	0.5812218260792681
18	47490000	47500000	-0.200155576294864	-0.026080225978931	0.0611618093886291	0.6025409466088602
18	47500000	47510000	0.2033340436263996	0.082369945409606	0.0320621811368879	0.6049672218090324
18	47510000	47520000	0.231092233895358	0.2192337567744815	0.1827375703322363	0.6400088705059953
18	47520000	47530000	0.2420552689681106	0.2406919073113757	0.2807945687453922	0.661558785086947
18	47530000	47540000	0.436997300444862	0.2057401083946185	0.2724298677079444	0.6476715167100972
18	47540000	47550000	0.3296784734743671	0.229482663384048	0.3497152414125549	0.6013149091157057
18	47550000	47560000	-0.0899955952509557	0.1667003825467854	0.3137753004351156	0.5513852595774587
18	47560000	47570000	0.1119266448382533	-0.0019942528163159	0.313695914344224	0.5054772489481654
18	47570000	47580000	0.0756900077662794	0.0766588677444151	0.3139441267170488	0.4831801805676483
18	47580000	47590000	-0.2272473460761907	0.1117548496072822	0.2927494389201174	0.4528026872872608
18	47590000	47600000	-0.0911110716992447	0.1501712631297715	0.2627587091020704	0.425449365800685
18	47600000	47610000	-0.010126349306805	0.1262135327302893	0.2434760437007371	0.3974657348805112
18	47610000	47620000	-0.1177627984035078	0.1810480366341184	0.2179141378554472	0.3232427714310112
18	47620000	47630000	0.1185180617127261	0.1149136184499171	0.118626892133585	0.2804341879216378
