chrom	start	end	log2_insulation_score_30000	log2_insulation_score_50000	log2_insulation_score_100000	log2_insulation_score_250000
chr2	0	10000				
chr2	10000	20000	0.43160745925776334	0.5079278735364268	0.6822448698143393	1.3187228546720349
chr2	20000	30000	0.22799760828106336	0.4000405468747088	0.7507552628392568	1.3422295185217188
chr2	30000	40000	0.05576293756970738	0.37838176264053325	0.7568914360058863	1.3388153388027946
chr2	40000	50000	0.09578428932237941	0.19465573009296935	0.6650994829491425	1.2685509627286837
chr2	50000	60000	0.08907999632181107	0.05957783639750494	0.5861040800504962	1.211580858555095
chr2	60000	70000	0.03690596691092917	0.13403697466452955	0.5477323496511725	1.1613017745502219
chr2	70000	80000	0.06235268373925505	0.12244394536160265	0.47905218171669045	1.0924802496130095
chr2	80000	90000	0.07911195103261467	0.16771454987857912	0.4275419713729308	1.0324985751313247
chr2	90000	100000	0.04942618228747754	0.1983808476090104	0.3776451773275113	0.9727150239354164
chr2	100000	110000	0.11208194906079075	0.21597473612465456	0.32075403917608664	0.9140443508609785
chr2	110000	120000	0.09576222807498196	0.19045499149844927	0.3201819262917316	0.8670803401869391
chr2	120000	130000	0.08193116660235521	0.215376671067855	0.289767457855123	0.8144992536212827
chr2	130000	140000	0.18735786628316248	0.20002692188464424	0.2377553783699049	0.7553757717230788
chr2	140000	150000	0.11765578095190211	0.17876806923039257	0.16146636863940092	0.6929331876402907
chr2	150000	160000	0.09851195278426493	0.14101400960952604	0.07049840960515316	0.6266349182011891
chr2	160000	170000	0.0224278984310485	0.03052028612050233	-0.05062378240000529	0.5577970865032011
chr2	170000	180000	-0.028068069595844607	-0.020029508731427934	-0.12548652303229324	0.5165029349200562
chr2	180000	190000	0.008942666470819018	-0.11851958368248422	-0.19611295171943	0.4684361880164878
chr2	190000	200000	-0.10791680385419027	-0.15487669840110438	-0.21624930301730216	0.43163880334140725
chr2	200000	210000	-0.1258040749030232	-0.14607824937791253	-0.17328237815591974	0.3984669588704348
chr2	210000	220000	-0.049417155969579685	-0.1090173047572543	-0.12699811013638146	0.36851642396807516
chr2	220000	230000	0.07849008825530061	-0.020938150389649073	-0.029684569787885424	0.3577591359954166
chr2	230000	240000	0.16954571449747513	0.11143228827134008	0.051248695144532584	0.3415227064532821
chr2	240000	250000	0.2483784144257789	0.20384287335522722	0.11271648727619205	0.325879625066127
chr2	250000	260000	0.30324511868078097	0.31594727557347396	0.13528159494015468	0.29893794976722693
chr2	260000	270000	0.41290417221798026	0.25888237363596966	0.08104636307929697	0.26820449668418817
chr2	270000	280000	0.12591312785005784	0.041295162273834014	-0.06763442016437403	0.2185129378453289
chr2	280000	290000	-0.29609818524056264	-0.21552598133140516	-0.2258228748873451	0.16736167809896396
chr2	290000	300000	-0.4739123668192362	-0.5385688050091626	-0.37099411783024533	0.12545252408627347
chr2	300000	310000	-0.21959637597283727	-0.4220111961456162	-0.3874089394101438	0.11675726034286471
chr2	310000	320000	-0.10785575265273291	-0.28320155275693737	-0.3444115458109403	0.1253621952683483
chr2	320000	330000	-0.07200833081902573	-0.11945821513490995	-0.27131811134916	0.14003582974143775
chr2	330000	340000	-0.04367589036586825	-0.03462647810842542	-0.1809101239080774	0.1635659401263847
chr2	340000	350000	0.1449350363722594	0.09768145048781397	-0.06224594195698193	0.19195369433407292
chr2	350000	360000	0.10708772740343322	0.14441618514520219	0.03476633182428409	0.22257367660013191
chr2	360000	370000	0.10021768677976486	0.16546399151275468	0.09868273165366999	0.24413224246006435
chr2	370000	380000	0.07437909797685761	0.1671874282502082	0.15006340918095354	0.27306536147048016
chr2	380000	390000	0.08576778389831813	0.14308557885015868	0.20457358647906357	0.3096535192688022
